PlateNumber,Reason
JK14SU3550,Duplicate Number Plate
JK08XP1434,Unregistered Vehicle
JK20RX9430,Hit & Run Suspect
JK20CC2643,Unpaid Traffic Fines
JK08MR8826,Hit & Run Suspect
JK01HJ7301,Illegal Modification
JK07TS5341,Unpaid Traffic Fines
JK18WE9823,Illegal Modification
JK13QX2555,Duplicate Number Plate
JK18QH3865,Unpaid Traffic Fines
JK08VE7000,Seized by Police
JK10FG4553,Seized by Police
JK02BJ7997,Expired Insurance
JK01SC6890,Expired Insurance
JK07NS5433,Unregistered Vehicle
JK06OF8846,Under Investigation
JK17KW2406,Unpaid Traffic Fines
JK01UV3405,Unregistered Vehicle
JK06WT2187,Expired Insurance
JK17IZ1853,Hit & Run Suspect
JK05XM7966,Unregistered Vehicle
JK14JR8482,Hit & Run Suspect
JK07PW9956,Expired Insurance
JK07KH4939,Expired Insurance
JK05FO9372,Stolen Vehicle
JK17SC9571,Under Investigation
JK09CA3281,Under Investigation
JK14NE5087,Expired Insurance
JK04LC7399,Unregistered Vehicle
JK20DG1935,Seized by Police
JK08XE1534,Unpaid Traffic Fines
JK17LH2984,Seized by Police
JK15AN6768,Stolen Vehicle
JK19QF8253,Illegal Modification
JK16KW2908,Illegal Modification
JK03RY3239,Fake Registration
JK22OD1576,Expired Insurance
JK13AO1993,Illegal Modification
JK07HA8344,Expired Insurance
JK07DS2150,Fake Registration
JK01RG6577,Duplicate Number Plate
JK17NM5158,Unpaid Traffic Fines
JK14LA5818,Duplicate Number Plate
JK13WS4961,Illegal Modification
JK17MW5839,Duplicate Number Plate
JK10KP6426,Fake Registration
JK05GF1228,Hit & Run Suspect
JK22MF3661,Hit & Run Suspect
JK09VS2513,Stolen Vehicle
JK11HL7770,Illegal Modification
JK13TZ4234,Under Investigation
JK17SU5193,Seized by Police
JK15SV2464,Stolen Vehicle
JK04ZF3419,Fake Registration
JK14HV3338,Hit & Run Suspect
JK16MY7586,Expired Insurance
JK20TF1511,Illegal Modification
JK20ZH1511,Duplicate Number Plate
JK20YR4060,Unregistered Vehicle
JK12SM7346,Under Investigation
JK19AW2370,Under Investigation
JK17VJ8124,Duplicate Number Plate
JK13TW9943,Stolen Vehicle
JK04IF2686,Illegal Modification
JK15UC7628,Fake Registration
JK22RJ6882,Hit & Run Suspect
JK19ZM3512,Hit & Run Suspect
JK09VT8212,Seized by Police
JK11FL8356,Seized by Police
JK18UR5729,Seized by Police
JK16LK4819,Unpaid Traffic Fines
JK16DI9799,Stolen Vehicle
JK08IV4673,Expired Insurance
JK16AE1869,Hit & Run Suspect
JK15DV3085,Hit & Run Suspect
JK15BD2895,Seized by Police
JK12FV2707,Hit & Run Suspect
JK21VF8479,Unpaid Traffic Fines
JK12EA8094,Expired Insurance
JK11EB9610,Expired Insurance
JK07UJ9681,Seized by Police
JK08DZ4703,Illegal Modification
JK17JR5791,Expired Insurance
JK04JM1877,Seized by Police
JK07VS5833,Fake Registration
JK20WV1660,Expired Insurance
JK16MA2990,Under Investigation
JK05ZU8282,Stolen Vehicle
JK09TU7338,Duplicate Number Plate
JK22PG4294,Unregistered Vehicle
JK08YW1133,Seized by Police
JK09RC9562,Duplicate Number Plate
JK02IC2092,Unpaid Traffic Fines
JK15SX8507,Fake Registration
JK18AN4737,Under Investigation
JK18LM1561,Under Investigation
JK13ZK9379,Illegal Modification
JK20KU7933,Expired Insurance
JK04DM6601,Unpaid Traffic Fines
JK09EA5427,Unpaid Traffic Fines
JK08IV4152,Stolen Vehicle
JK08D4356,Seized by Police
JK01AB1234,Unpaid Traffic Fines
JK08D4356 ,Duplicate Number Plate
